AZ Aztec
AB Aborigine
AG Ancient Greek
EG Ecclesiastical Greek
EGY Egyptian
HE Hebrew
FAR Persian
PR Portuguese
AR Arabic
JP Japanese
OE Old English
ME Modern English
MI Middle English
MS Modern Slang
MLG Middle Low German
MD Middle Dutch
L Latin
K Kentish
OF Old French
FR French
SK Sanskrit
ML Medieval Latin
IT Italian
ON Old Norse
VL Vulgar Latin
GER German
TA Tamil
IR Irish
SP Spanish
