AB  Aborigine
AG  Ancient Greek
AR  Arabic
AZ  Aztec
EG  Ecclesiastical Greek
EGY Egyptian
FR  French
GER German
HE  Hebrew
IR  Irish
IT  Italian
JP  Japanese
K   Kentish
L   Latin
MD  Middle Dutch
ME  Modern English
MI  Middle English
ML  Medieval Latin
MLG Middle Low German
MS  Modern Slang
OE  Old English
OF  Old French
ON  Old Norse
OP  Old Provençal
PER Persian
POR Portuguese
SK  Sanskrit
SP  Spanish
TA  Tamil
VL  Vulgar Latin
